,Y,TOP0_LVL,TOP0_TOTAL,TOP0_GWR,TOP0_WR,TOP0_NB,TOP0_HOT,TOP0_FILL,TOP0_RANK,TOP0_KDA,TOP0_KDAG,TOP0_VS,TOP0_MAS,TOP0_WCH,TOP0_LCH,TOP0_TOTCH,TOP0_WRCH,JGL0_LVL,JGL0_TOTAL,JGL0_GWR,JGL0_WR,JGL0_NB,JGL0_HOT,JGL0_FILL,JGL0_RANK,JGL0_KDA,JGL0_KDAG,JGL0_VS,JGL0_MAS,JGL0_WCH,JGL0_LCH,JGL0_TOTCH,JGL0_WRCH,MID0_LVL,MID0_TOTAL,MID0_GWR,MID0_WR,MID0_NB,MID0_HOT,MID0_FILL,MID0_RANK,MID0_KDA,MID0_KDAG,MID0_VS,MID0_MAS,MID0_WCH,MID0_LCH,MID0_TOTCH,MID0_WRCH,ADC0_LVL,ADC0_TOTAL,ADC0_GWR,ADC0_WR,ADC0_NB,ADC0_HOT,ADC0_FILL,ADC0_RANK,ADC0_KDA,ADC0_KDAG,ADC0_VS,ADC0_MAS,ADC0_WCH,ADC0_LCH,ADC0_TOTCH,ADC0_WRCH,SUP0_LVL,SUP0_TOTAL,SUP0_GWR,SUP0_WR,SUP0_NB,SUP0_HOT,SUP0_FILL,SUP0_RANK,SUP0_KDA,SUP0_KDAG,SUP0_VS,SUP0_MAS,SUP0_WCH,SUP0_LCH,SUP0_TOTCH,SUP0_WRCH,TOP1_LVL,TOP1_TOTAL,TOP1_GWR,TOP1_WR,TOP1_NB,TOP1_HOT,TOP1_FILL,TOP1_RANK,TOP1_KDA,TOP1_KDAG,TOP1_VS,TOP1_MAS,TOP1_WCH,TOP1_LCH,TOP1_TOTCH,TOP1_WRCH,JGL1_LVL,JGL1_TOTAL,JGL1_GWR,JGL1_WR,JGL1_NB,JGL1_HOT,JGL1_FILL,JGL1_RANK,JGL1_KDA,JGL1_KDAG,JGL1_VS,JGL1_MAS,JGL1_WCH,JGL1_LCH,JGL1_TOTCH,JGL1_WRCH,MID1_LVL,MID1_TOTAL,MID1_GWR,MID1_WR,MID1_NB,MID1_HOT,MID1_FILL,MID1_RANK,MID1_KDA,MID1_KDAG,MID1_VS,MID1_MAS,MID1_WCH,MID1_LCH,MID1_TOTCH,MID1_WRCH,ADC1_LVL,ADC1_TOTAL,ADC1_GWR,ADC1_WR,ADC1_NB,ADC1_HOT,ADC1_FILL,ADC1_RANK,ADC1_KDA,ADC1_KDAG,ADC1_VS,ADC1_MAS,ADC1_WCH,ADC1_LCH,ADC1_TOTCH,ADC1_WRCH,SUP1_LVL,SUP1_TOTAL,SUP1_GWR,SUP1_WR,SUP1_NB,SUP1_HOT,SUP1_FILL,SUP1_RANK,SUP1_KDA,SUP1_KDAG,SUP1_VS,SUP1_MAS,SUP1_WCH,SUP1_LCH,SUP1_TOTCH,SUP1_WRCH
EUW1_6141640797,0.0,291.0,343.0,0.4723032,0.4,5.0,0.0,0.0,1758.0,2.5833333,2.5833333,0.0,738700.0,,,,,677.0,101.0,0.5148515,1.0,1.0,0.0,0.0,1523.0,5.0,1.7666667,2.0,38079.0,22.0,21.0,43.0,0.5116279,379.0,358.0,0.547486,0.5,4.0,0.0,0.0,1723.0,3.4117646,3.0416667,-1.1,326265.0,113.0,69.0,182.0,0.6208791,125.0,691.0,0.50217074,0.5,0.0,0.0,0.0,1700.0,0.0,2.0416667,-1.0,9347.0,8.0,5.0,13.0,0.61538464,381.0,600.0,0.5183333,0.5,0.0,0.0,1.0,1777.0,0.0,3.8461537,-0.2,204600.0,16.0,15.0,31.0,0.516129,524.0,1324.0,0.5060423,0.5,0.0,1.0,0.0,1971.0,0.0,2.4761906,0.0,24004.0,20.0,17.0,37.0,0.5405405,105.0,540.0,0.50555557,0.5,0.0,0.0,0.0,1647.0,0.0,1.3333334,-2.0,48895.0,42.0,37.0,79.0,0.5316456,437.0,155.0,0.5419355,0.0,2.0,0.0,0.0,1760.0,1.0,1.5789474,1.1,300589.0,24.0,17.0,41.0,0.58536583,212.0,337.0,0.49554896,0.5,0.0,0.0,0.0,1753.0,0.0,1.8974359,1.0,378293.0,84.0,94.0,178.0,0.47191012,405.0,377.0,0.5331565,0.5,0.0,1.0,1.0,1805.0,0.0,1.8378378,0.2,12614.0,0.0,2.0,2.0,0.0
EUW1_6124655151,1.0,504.0,302.0,0.5529801,0.0,2.0,1.0,0.0,1601.0,2.7333333,2.5405405,-0.3,398334.0,100.0,75.0,175.0,0.5714286,42.0,112.0,0.5535714,0.6666667,3.0,0.0,0.0,1601.0,2.3125,1.7333333,4.2,41077.0,34.0,28.0,62.0,0.5483871,297.0,280.0,0.50714284,0.5,0.0,0.0,1.0,1600.0,0.0,1.1666666,1.7,380489.0,68.0,52.0,120.0,0.56666666,128.0,354.0,0.5451977,0.5,2.0,0.0,0.0,1625.0,5.5,4.2083335,-3.2,91232.0,46.0,40.0,86.0,0.53488374,72.0,220.0,0.5409091,0.4,5.0,0.0,0.0,1633.0,1.3170732,1.3170732,-6.2,89292.0,76.0,59.0,135.0,0.56296295,61.0,88.0,0.57954544,1.0,2.0,0.0,0.0,1531.0,10.333333,6.6666665,0.3,24046.0,7.0,3.0,10.0,0.7,55.0,184.0,0.49456522,0.5,0.0,0.0,1.0,1355.0,0.0,2.2,-4.2,10384.0,8.0,8.0,16.0,0.5,192.0,697.0,0.52223814,0.5,0.0,0.0,1.0,1700.0,0.0,2.275862,-1.7,1662.0,1.0,1.0,2.0,0.5,71.0,488.0,0.5081967,0.5,0.0,0.0,0.0,1600.0,0.0,2.2571428,3.2,2083.0,1.0,1.0,2.0,0.5,361.0,652.0,0.50153375,0.5,0.0,0.0,1.0,1600.0,0.0,4.0,6.2,263300.0,123.0,83.0,206.0,0.5970874
EUW1_6003760886,1.0,450.0,1383.0,0.5140998,0.5,0.0,0.0,0.0,2000.0,0.0,1.0526316,0.8,31276.0,33.0,12.0,45.0,0.73333335,92.0,45.0,0.53333336,0.5,0.0,0.0,1.0,2001.0,0.0,3.5769231,-3.4,19930.0,1.0,5.0,6.0,0.16666667,220.0,109.0,0.44036698,0.5,0.0,0.0,1.0,1743.0,0.0,4.1578946,0.3,294478.0,,,,,311.0,16.0,0.625,0.5,0.0,0.0,1.0,1547.0,0.0,2.7307692,-2.6,60647.0,0.0,0.0,0.0,0.5,650.0,371.0,0.52560645,0.5,0.0,0.0,1.0,1776.0,0.0,1.6129032,4.1,236192.0,21.0,17.0,38.0,0.55263156,118.0,30.0,0.4,0.5,0.0,0.0,1.0,1802.0,0.0,1.5862069,-0.8,13760.0,0.0,0.0,0.0,0.5,52.0,119.0,0.56302524,0.0,1.0,0.0,1.0,1722.0,2.857143,7.1666665,3.4,17837.0,16.0,4.0,20.0,0.8,50.0,248.0,0.51209676,0.5,0.0,0.0,1.0,1775.0,0.0,1.862069,-0.3,5732.0,5.0,7.0,12.0,0.41666666,198.0,41.0,0.58536583,0.5,0.0,0.0,0.0,1666.0,0.0,3.0434783,2.6,425567.0,5.0,1.0,6.0,0.8333333,45.0,57.0,0.5964912,0.5,0.0,0.0,1.0,1666.0,0.0,2.75,-4.1,122.0,0.0,0.0,0.0,0.5
EUW1_6046141646,1.0,68.0,66.0,0.57575756,0.0,1.0,0.0,0.0,1600.0,2.8333333,2.6666667,-6.5,5848.0,5.0,1.0,6.0,0.8333333,342.0,233.0,0.4635193,0.5,2.0,0.0,0.0,1712.0,2.1111112,2.6190476,2.1,49607.0,7.0,3.0,10.0,0.7,167.0,658.0,0.51215804,0.5,0.0,0.0,0.0,2268.0,0.0,1.4444444,-1.3,143.0,2.0,7.0,9.0,0.22222222,640.0,160.0,0.5375,0.5,0.0,1.0,0.0,2601.0,0.0,4.181818,7.3,6084.0,0.0,1.0,1.0,0.0,56.0,223.0,0.48430493,0.6666667,3.0,0.0,0.0,1600.0,5.214286,2.9714286,0.6,53043.0,31.0,36.0,67.0,0.46268657,84.0,93.0,0.5268817,0.5,0.0,1.0,1.0,1735.0,0.0,5.882353,6.5,4195.0,,,,,187.0,173.0,0.48554912,0.5,0.0,0.0,1.0,1659.0,0.0,1.5142857,-2.1,72766.0,1.0,0.0,1.0,1.0,521.0,887.0,0.49492672,0.5,0.0,0.0,0.0,2000.0,0.0,2.6,1.3,38431.0,0.0,1.0,1.0,0.0,341.0,244.0,0.5081967,0.5,0.0,0.0,1.0,2326.0,0.0,2.5,-7.3,37126.0,,,,,285.0,41.0,0.58536583,0.5,0.0,1.0,1.0,2329.0,0.0,3.6086957,-0.6,0.0,,,,
EUW1_6136926808,0.0,463.0,209.0,0.49760765,0.0,2.0,0.0,1.0,1931.0,1.3,1.4545455,-3.4,85918.0,13.0,12.0,25.0,0.52,462.0,701.0,0.489301,0.5,0.0,0.0,1.0,1800.0,0.0,2.3181818,1.1,7520.0,5.0,7.0,12.0,0.41666666,359.0,390.0,0.50769234,0.5,0.0,0.0,1.0,1600.0,0.0,2.0434783,0.6,16698.0,0.0,3.0,3.0,0.0,184.0,178.0,0.48314607,0.5,0.0,0.0,1.0,1706.0,0.0,1.7222222,1.4,131668.0,13.0,9.0,22.0,0.59090906,484.0,303.0,0.5049505,0.5,0.0,0.0,1.0,1716.0,0.0,1.1666666,-1.1,638842.0,62.0,65.0,127.0,0.48818898,221.0,13.0,0.46153846,0.5,0.0,1.0,1.0,1360.0,0.0,2.2857144,3.4,263260.0,85.0,75.0,160.0,0.53125,309.0,412.0,0.4975728,0.75,4.0,0.0,0.0,1763.0,2.3076923,1.972973,-1.1,16677.0,7.0,5.0,12.0,0.5833333,500.0,803.0,0.50435865,0.5,0.0,1.0,1.0,1904.0,0.0,2.7272727,-0.6,88659.0,23.0,18.0,41.0,0.5609756,243.0,1522.0,0.5045992,0.0,4.0,0.0,0.0,1815.0,1.9285715,1.6666666,-1.4,150773.0,119.0,84.0,203.0,0.5862069,180.0,29.0,0.4827586,0.5,0.0,0.0,0.0,1056.0,0.0,2.0,1.1,52384.0,15.0,9.0,24.0,0.625
EUW1_6130062855,1.0,260.0,168.0,0.4107143,0.5,0.0,0.0,1.0,544.0,0.0,2.1304348,-0.2,5399.0,1.0,2.0,3.0,0.33333334,481.0,273.0,0.53113556,0.5,0.0,0.0,1.0,800.0,0.0,1.85,2.4,75513.0,1.0,7.0,8.0,0.125,622.0,229.0,0.4628821,0.0,1.0,0.0,1.0,925.0,1.4,1.3055556,-3.2,82430.0,21.0,28.0,49.0,0.42857143,910.0,539.0,0.5213358,0.5,0.0,0.0,1.0,1700.0,0.0,1.4444444,-0.4,205333.0,5.0,7.0,12.0,0.41666666,251.0,26.0,0.53846157,0.5,0.0,1.0,0.0,708.0,0.0,3.15,3.4,10285.0,,,,,533.0,516.0,0.5116279,0.5,0.0,0.0,1.0,1707.0,0.0,2.1470587,0.2,25813.0,0.0,0.0,0.0,0.5,414.0,182.0,0.45604396,0.5,0.0,0.0,1.0,1208.0,0.0,4.142857,-2.4,6057.0,,,,,411.0,510.0,0.5235294,0.5,0.0,0.0,1.0,975.0,0.0,2.1515152,3.2,14183.0,,,,,499.0,224.0,0.4732143,0.5,0.0,0.0,1.0,1435.0,0.0,2.1034484,0.4,19137.0,,,,,624.0,567.0,0.49382716,0.5,0.0,0.0,1.0,1200.0,0.0,2.857143,-3.4,49209.0,,,,
EUW1_6039318751,1.0,44.0,144.0,0.5277778,0.0,1.0,0.0,1.0,1656.0,0.0,2.631579,1.2,3671.0,3.0,0.0,3.0,1.0,111.0,681.0,0.5095448,0.0,1.0,0.0,1.0,1729.0,0.33333334,1.0277778,-0.7,23385.0,19.0,25.0,44.0,0.4318182,366.0,757.0,0.4980185,0.5,0.0,0.0,1.0,1707.0,0.0,2.0,2.8,38369.0,10.0,6.0,16.0,0.625,567.0,277.0,0.50180507,1.0,1.0,1.0,0.0,1870.0,2.0,1.7666667,4.2,336939.0,22.0,23.0,45.0,0.4888889,258.0,704.0,0.52414775,0.5,0.0,0.0,0.0,2000.0,0.0,1.9705882,-1.4,148162.0,81.0,56.0,137.0,0.5912409,430.0,261.0,0.49042144,0.0,1.0,0.0,0.0,1715.0,0.5294118,1.1886792,-1.2,56467.0,5.0,5.0,10.0,0.5,107.0,113.0,0.49557522,0.5,0.0,0.0,1.0,1728.0,0.0,2.1785715,0.7,8565.0,0.0,1.0,1.0,0.0,391.0,1095.0,0.50045663,0.0,1.0,0.0,0.0,1727.0,0.75,2.121951,-2.8,31618.0,29.0,19.0,48.0,0.6041667,276.0,541.0,0.5120148,0.5,0.0,0.0,1.0,1716.0,0.0,2.1515152,-4.2,57860.0,5.0,7.0,12.0,0.41666666,749.0,2619.0,0.5040092,0.2,5.0,0.0,0.0,1727.0,1.625,1.625,1.4,708053.0,586.0,520.0,1106.0,0.52983725
EUW1_6076752732,1.0,436.0,11.0,0.27272728,0.5,0.0,0.0,1.0,1731.0,0.0,2.28125,2.1,15032.0,0.0,0.0,0.0,0.5,576.0,580.0,0.51724136,0.5,0.0,1.0,1.0,1796.0,0.0,3.25,-2.2,167618.0,4.0,3.0,7.0,0.5714286,117.0,63.0,0.42857143,0.5,0.0,0.0,1.0,1135.0,0.0,3.0,-1.2,44622.0,1.0,2.0,3.0,0.33333334,483.0,437.0,0.44393593,0.5,0.0,0.0,1.0,2065.0,0.0,4.642857,0.6,984.0,,,,,441.0,26.0,0.5,0.5,2.0,0.0,0.0,1039.0,2.0,3.107143,2.0,33840.0,0.0,1.0,1.0,0.0,254.0,156.0,0.51282054,0.5,0.0,0.0,0.0,1201.0,0.0,2.8846154,-2.1,162053.0,12.0,10.0,22.0,0.54545456,388.0,161.0,0.49689442,0.5,0.0,0.0,1.0,1460.0,0.0,4.3125,2.2,110986.0,4.0,3.0,7.0,0.5714286,49.0,94.0,0.5212766,0.0,2.0,0.0,0.0,1647.0,3.2,2.137931,1.2,2442.0,1.0,2.0,3.0,0.33333334,42.0,118.0,0.5254237,0.5,0.0,0.0,0.0,1825.0,0.0,1.5714285,-0.6,193.0,,,,,514.0,221.0,0.520362,0.5,0.0,0.0,0.0,1405.0,0.0,3.3448277,-2.0,677331.0,99.0,80.0,179.0,0.55307263
EUW1_6137058275,0.0,386.0,115.0,0.45217392,0.5,0.0,0.0,1.0,1600.0,0.0,1.9777777,0.0,1360.0,,,,,70.0,41.0,0.46341464,0.6,5.0,0.0,0.0,1427.0,4.4583335,4.4583335,1.1,23200.0,,,,,388.0,214.0,0.49532712,0.6666667,3.0,0.0,0.0,1636.0,4.3846154,2.764706,3.4,626731.0,69.0,57.0,126.0,0.54761904,191.0,18.0,0.44444445,1.0,2.0,0.0,0.0,1381.0,2.9,2.1818182,-0.4,247150.0,2.0,3.0,5.0,0.4,440.0,221.0,0.5565611,0.5,0.0,0.0,0.0,1975.0,0.0,2.5526316,-0.9,428988.0,62.0,32.0,94.0,0.65957445,336.0,232.0,0.51724136,0.5,0.0,0.0,1.0,1903.0,0.0,4.894737,0.0,8185.0,,,,,387.0,214.0,0.4906542,0.5,0.0,0.0,1.0,1619.0,0.0,1.84375,-1.1,61046.0,5.0,2.0,7.0,0.71428573,141.0,17.0,0.5294118,0.2,5.0,0.0,0.0,801.0,2.3333333,2.3333333,-3.4,355579.0,6.0,3.0,9.0,0.6666667,414.0,261.0,0.5249042,0.5,0.0,0.0,0.0,1769.0,0.0,3.2666667,0.4,1026868.0,70.0,47.0,117.0,0.5982906,327.0,401.0,0.51122195,0.5,0.0,0.0,1.0,1356.0,0.0,3.1111112,0.9,30709.0,,,,
EUW1_6068580224,0.0,232.0,538.0,0.51672864,0.5,0.0,0.0,0.0,1656.0,0.0,3.2941177,-3.4,211091.0,120.0,115.0,235.0,0.5106383,64.0,90.0,0.47777778,0.6666667,3.0,0.0,0.0,1603.0,9.5,3.9444444,-1.3,24501.0,12.0,13.0,25.0,0.48,474.0,284.0,0.51760566,0.5,0.0,0.0,1.0,1755.0,0.0,4.7222223,-3.1,24849.0,4.0,2.0,6.0,0.6666667,76.0,62.0,0.5967742,0.5,0.0,0.0,0.0,1725.0,0.0,4.3636365,-2.4,2993.0,1.0,1.0,2.0,0.5,164.0,654.0,0.5,0.5,0.0,0.0,0.0,1447.0,0.0,1.7045455,3.7,39131.0,23.0,24.0,47.0,0.4893617,68.0,282.0,0.5035461,0.0,1.0,0.0,0.0,1718.0,1.7,1.2571429,3.4,46860.0,28.0,30.0,58.0,0.4827586,67.0,63.0,0.50793654,0.25,4.0,0.0,0.0,1946.0,1.9666667,1.7948718,1.3,130830.0,45.0,34.0,79.0,0.56962025,353.0,614.0,0.50162864,0.5,0.0,1.0,1.0,1681.0,0.0,4.0526314,3.1,15719.0,8.0,13.0,21.0,0.3809524,495.0,399.0,0.49122807,0.0,2.0,0.0,0.0,1646.0,1.5294118,1.9411764,2.4,143073.0,39.0,37.0,76.0,0.5131579,212.0,267.0,0.48314607,0.5,2.0,0.0,0.0,1433.0,2.1666667,2.0810812,-3.7,108493.0,49.0,37.0,86.0,0.5697674
EUW1_6129722557,1.0,48.0,149.0,0.5100671,0.5,0.0,0.0,1.0,1802.0,0.0,1.3076923,-1.4,36602.0,19.0,9.0,28.0,0.6785714,614.0,731.0,0.50752395,0.5,0.0,0.0,0.0,1732.0,0.0,4.3809524,-2.7,128941.0,51.0,50.0,101.0,0.5049505,624.0,544.0,0.5128676,0.5,4.0,0.0,0.0,1661.0,1.75,2.057143,0.5,2215333.0,199.0,171.0,370.0,0.53783786,862.0,1884.0,0.5047771,0.5,0.0,0.0,1.0,1791.0,0.0,1.6071428,0.9,160712.0,18.0,39.0,57.0,0.31578946,535.0,631.0,0.50237715,0.0,1.0,0.0,0.0,1791.0,1.3333334,2.631579,3.8,49618.0,33.0,25.0,58.0,0.5689655,540.0,730.0,0.5191781,0.0,1.0,0.0,0.0,1749.0,2.142857,1.7872341,1.4,384264.0,168.0,116.0,284.0,0.5915493,516.0,390.0,0.47948718,1.0,1.0,0.0,0.0,1624.0,7.5,3.92,2.7,67266.0,3.0,3.0,6.0,0.5,489.0,388.0,0.48195878,0.5,0.0,0.0,0.0,1700.0,0.0,3.409091,-0.5,36780.0,1.0,3.0,4.0,0.25,590.0,1544.0,0.5123057,0.0,1.0,0.0,0.0,1900.0,0.5,2.0869565,-0.9,232362.0,129.0,101.0,230.0,0.5608696,368.0,412.0,0.50970876,0.5,0.0,0.0,0.0,1709.0,0.0,1.4042553,-3.8,8459.0,2.0,0.0,2.0,1.0
EUW1_6129503244,1.0,336.0,429.0,0.5174825,0.5,0.0,0.0,1.0,1762.0,0.0,3.8214285,-0.9,51987.0,27.0,20.0,47.0,0.5744681,470.0,562.0,0.51067615,0.0,4.0,0.0,0.0,1744.0,0.73333335,1.2244898,-0.3,2111643.0,263.0,219.0,482.0,0.54564315,374.0,1466.0,0.50477487,0.5,0.0,0.0,0.0,1875.0,0.0,2.2413793,-1.8,386545.0,134.0,109.0,243.0,0.55144036,306.0,361.0,0.5207756,0.6,5.0,0.0,0.0,1916.0,3.5789473,3.5789473,-0.1,1509334.0,171.0,151.0,322.0,0.5310559,116.0,297.0,0.5117845,0.5,0.0,0.0,0.0,1764.0,0.0,1.3333334,-0.6,139525.0,85.0,76.0,161.0,0.5279503,359.0,502.0,0.5,0.33333334,3.0,0.0,0.0,1937.0,0.9259259,1.175,0.9,158457.0,59.0,62.0,121.0,0.4876033,162.0,861.0,0.51335657,0.0,1.0,0.0,0.0,2000.0,1.0,2.2692308,0.3,15853.0,13.0,8.0,21.0,0.61904764,335.0,48.0,0.7083333,0.5,0.0,0.0,1.0,1853.0,0.0,3.909091,1.8,14177.0,0.0,0.0,0.0,0.5,617.0,690.0,0.4942029,0.5,0.0,0.0,0.0,1878.0,0.0,2.4242425,0.1,72054.0,18.0,12.0,30.0,0.6,109.0,709.0,0.5133991,0.0,2.0,0.0,0.0,1930.0,1.4545455,2.92,0.6,106241.0,74.0,57.0,131.0,0.5648855
EUW1_6141229348,0.0,136.0,1168.0,0.49914384,0.33333334,3.0,0.0,0.0,1737.0,2.4375,1.7096775,-0.4,142274.0,129.0,109.0,238.0,0.5420168,459.0,895.0,0.5039106,0.5,0.0,1.0,0.0,1778.0,0.0,3.3076923,1.1,43504.0,25.0,21.0,46.0,0.54347825,186.0,264.0,0.5416667,0.5,0.0,0.0,1.0,1710.0,0.0,2.1111112,0.9,46842.0,28.0,32.0,60.0,0.46666667,342.0,815.0,0.5092025,0.5,0.0,0.0,0.0,1733.0,0.0,2.1111112,0.1,159.0,0.0,0.0,0.0,0.5,90.0,538.0,0.5464684,0.5,0.0,0.0,0.0,1824.0,0.0,2.3793104,-0.9,21405.0,13.0,11.0,24.0,0.5416667,336.0,689.0,0.49782294,0.8,5.0,0.0,0.0,1715.0,1.2,1.2,0.4,1098969.0,256.0,245.0,501.0,0.51097804,400.0,626.0,0.50958467,0.0,1.0,0.0,0.0,1841.0,1.75,3.5,-1.1,106338.0,28.0,25.0,53.0,0.5283019,282.0,124.0,0.5080645,0.5,2.0,0.0,0.0,1775.0,1.7894737,2.925,-0.9,27898.0,13.0,17.0,30.0,0.43333334,384.0,313.0,0.52396166,0.5,2.0,0.0,0.0,1815.0,2.1111112,1.6444445,-0.1,266657.0,19.0,16.0,35.0,0.54285717,401.0,582.0,0.524055,0.5,0.0,1.0,0.0,1846.0,0.0,3.235294,0.9,31325.0,11.0,11.0,22.0,0.5
EUW1_6081537106,1.0,839.0,137.0,0.52554744,1.0,1.0,0.0,0.0,1725.0,2.7142856,1.3333334,-1.4,1214728.0,65.0,56.0,121.0,0.5371901,197.0,166.0,0.48795182,0.5,0.0,1.0,1.0,1835.0,0.0,4.269231,-0.4,9816.0,2.0,1.0,3.0,0.6666667,98.0,274.0,0.54744524,0.0,2.0,0.0,0.0,1745.0,2.2,2.0555556,1.3,66479.0,22.0,12.0,34.0,0.64705884,48.0,209.0,0.54545456,0.5,0.0,0.0,0.0,1864.0,0.0,2.5517242,-1.5,7088.0,6.0,2.0,8.0,0.75,491.0,371.0,0.5148248,0.5,0.0,0.0,0.0,1726.0,0.0,1.6060606,1.7,135745.0,2.0,3.0,5.0,0.4,72.0,105.0,0.50476193,0.6666667,3.0,0.0,0.0,1643.0,2.25,1.7666667,1.4,12436.0,10.0,16.0,26.0,0.3846154,638.0,892.0,0.5044843,0.5,0.0,0.0,0.0,1734.0,0.0,2.387097,0.4,376617.0,13.0,15.0,28.0,0.4642857,128.0,112.0,0.54464287,0.5,0.0,0.0,1.0,1613.0,0.0,3.52,-1.3,7425.0,0.0,0.0,0.0,0.5,43.0,101.0,0.5049505,0.5,0.0,0.0,1.0,1656.0,0.0,2.0270271,1.5,1524.0,0.0,1.0,1.0,0.0,1010.0,228.0,0.48245615,0.5,0.0,0.0,1.0,1717.0,0.0,2.3333333,-1.7,468561.0,17.0,17.0,34.0,0.5
EUW1_6087480905,0.0,163.0,149.0,0.5503356,0.0,1.0,0.0,0.0,1758.0,2.4285715,2.0,3.2,45271.0,2.0,1.0,3.0,0.6666667,412.0,240.0,0.5208333,0.5,0.0,0.0,1.0,1380.0,0.0,1.4705882,1.2,2468.0,,,,,86.0,43.0,0.53488374,1.0,1.0,0.0,0.0,1200.0,10.5,4.318182,3.7,81027.0,5.0,2.0,7.0,0.71428573,407.0,52.0,0.48076922,0.6,5.0,0.0,0.0,1177.0,3.0588236,3.0588236,-0.1,646490.0,19.0,25.0,44.0,0.4318182,251.0,213.0,0.46478873,0.0,1.0,0.0,0.0,1277.0,1.5,2.2142856,4.9,128769.0,27.0,19.0,46.0,0.5869565,161.0,743.0,0.5074024,0.0,1.0,0.0,0.0,1200.0,5.5,2.7941177,-3.2,40080.0,22.0,17.0,39.0,0.5641026,499.0,567.0,0.52733684,0.0,2.0,0.0,0.0,2360.0,0.8333333,0.9117647,-1.2,81378.0,32.0,25.0,57.0,0.5614035,540.0,570.0,0.52807015,0.5,0.0,0.0,1.0,2001.0,0.0,1.6333333,-3.7,398551.0,119.0,74.0,193.0,0.6165803,757.0,234.0,0.50427353,0.6,5.0,0.0,0.0,1700.0,2.6136363,2.6136363,0.1,502515.0,11.0,15.0,26.0,0.42307693,328.0,203.0,0.5123153,0.5,0.0,0.0,1.0,1728.0,0.0,1.744186,-4.9,5506.0,,,,
EUW1_6139100345,1.0,51.0,189.0,0.56084657,0.4,5.0,0.0,0.0,1712.0,1.6,1.6,1.8,101842.0,98.0,74.0,172.0,0.5697674,244.0,331.0,0.49848944,0.5,2.0,0.0,0.0,1611.0,2.2857144,2.76,-2.4,267410.0,25.0,27.0,52.0,0.48076922,388.0,584.0,0.5085617,0.5,0.0,0.0,1.0,1702.0,0.0,2.9,-0.8,38446.0,4.0,2.0,6.0,0.6666667,318.0,396.0,0.5176768,0.5,0.0,0.0,0.0,1623.0,0.0,1.8571428,-0.1,206060.0,75.0,54.0,129.0,0.5813953,372.0,219.0,0.543379,0.5,0.0,1.0,1.0,1671.0,0.0,2.8,1.4,11260.0,0.0,0.0,0.0,0.5,423.0,949.0,0.49420443,0.5,0.0,0.0,0.0,1600.0,0.0,1.0263158,-1.8,242247.0,15.0,39.0,54.0,0.2777778,208.0,535.0,0.5233645,0.0,1.0,0.0,0.0,1674.0,2.0,1.962963,2.4,229503.0,91.0,78.0,169.0,0.53846157,283.0,1141.0,0.5039439,0.0,1.0,0.0,1.0,1600.0,2.3333333,1.4473684,0.8,402374.0,161.0,103.0,264.0,0.6098485,661.0,918.0,0.5,0.5,0.0,0.0,1.0,1623.0,0.0,1.4242424,0.1,1267.0,,,,,713.0,802.0,0.50374067,0.0,1.0,0.0,0.0,1674.0,2.6,2.7419355,-1.4,594396.0,42.0,36.0,78.0,0.53846157
EUW1_6113395624,1.0,434.0,883.0,0.5130238,0.5,0.0,0.0,1.0,2240.0,0.0,5.571429,0.5,47797.0,4.0,3.0,7.0,0.5714286,523.0,734.0,0.5054496,0.6,5.0,0.0,0.0,1911.0,2.6875,2.6875,1.9,0.0,359.0,323.0,682.0,0.52639294,94.0,54.0,0.46296296,0.5,0.0,1.0,1.0,1711.0,0.0,2.7714286,0.0,1959.0,0.0,0.0,0.0,0.5,485.0,1263.0,0.49168646,0.5,0.0,0.0,1.0,1716.0,0.0,1.5,-1.6,255504.0,62.0,69.0,131.0,0.47328246,253.0,413.0,0.5084746,0.5,0.0,0.0,0.0,1860.0,0.0,2.689655,0.7,47852.0,17.0,11.0,28.0,0.60714287,275.0,528.0,0.49810606,0.5,0.0,0.0,1.0,1622.0,0.0,1.6,-0.5,17668.0,0.0,2.0,2.0,0.0,43.0,67.0,0.58208954,0.5,0.0,0.0,0.0,1631.0,0.0,3.6153846,-1.9,1191.0,1.0,0.0,1.0,1.0,439.0,214.0,0.47663552,1.0,2.0,0.0,0.0,1949.0,2.7857144,3.0,0.0,213866.0,18.0,15.0,33.0,0.54545456,491.0,543.0,0.5156538,0.5,0.0,1.0,0.0,1877.0,0.0,4.2777777,1.6,194714.0,45.0,49.0,94.0,0.4787234,331.0,225.0,0.5422222,0.5,0.0,0.0,1.0,1802.0,0.0,2.7727273,-0.7,162188.0,12.0,13.0,25.0,0.48
